id,type,central_char,surrounding_char,trial_number,trial_type,key_pressed,correct,reaction_time
,,,,,,,,
178M20,Zgodny,left,left,0,training,left,True,0.433402500115335
,,,,,,,,
178M20,Niezgodny,right,left,1,training,right,True,0.8139516999945045
,,,,,,,,
178M20,Zgodny,right,right,2,training,right,True,0.5237312000244856
,,,,,,,,
178M20,Zgodny,right,right,3,training,right,True,0.4238340000156313
,,,,,,,,
178M20,Niezgodny,left,neutral,4,training,left,True,0.38927859999239445
,,,,,,,,
178M20,Niezgodny,left,right,0,experimental,left,True,0.5457210000604391
,,,,,,,,
178M20,Niezgodny,right,neutral,1,experimental,left,False,0.12102210009470582
,,,,,,,,
178M20,Niezgodny,right,left,2,experimental,left,False,0.0357379000633955
,,,,,,,,
178M20,Zgodny,right,right,3,experimental,left,False,0.06206170003861189
,,,,,,,,
178M20,Niezgodny,right,neutral,4,experimental,right,True,0.12872730009257793
,,,,,,,,
178M20,Niezgodny,left,right,5,experimental,left,True,0.11038230010308325
,,,,,,,,
178M20,Zgodny,left,left,6,experimental,left,True,0.09797240002080798
,,,,,,,,
178M20,Zgodny,right,right,7,experimental,left,False,0.09967070003040135
,,,,,,,,
178M20,Niezgodny,right,left,8,experimental,no_key,False,-1.0
,,,,,,,,
178M20,Zgodny,left,left,9,experimental,no_key,False,-1.0
,,,,,,,,
178M20,Zgodny,right,right,0,experimental,left,False,1.5226008999161422
,,,,,,,,
178M20,Niezgodny,right,neutral,1,experimental,right,True,0.9366465001367033
,,,,,,,,
178M20,Zgodny,left,left,2,experimental,left,True,0.43160080001689494
,,,,,,,,
178M20,Zgodny,left,left,3,experimental,left,True,0.4060861999168992
,,,,,,,,
178M20,Zgodny,left,left,4,experimental,left,True,0.3805307000875473
,,,,,,,,
178M20,Zgodny,left,left,5,experimental,left,True,0.22662740014493465
,,,,,,,,
178M20,Niezgodny,left,neutral,6,experimental,left,True,0.06634490005671978
,,,,,,,,
178M20,Niezgodny,right,left,7,experimental,left,False,0.2362896001432091
,,,,,,,,
178M20,Niezgodny,left,neutral,8,experimental,left,True,0.01628879993222654
,,,,,,,,
178M20,Niezgodny,right,left,9,experimental,right,True,0.21702069998718798
